CustomerID,FirstName,LastName,Email,DOB,Lat,Lon
C532,Eric,Williams,eric.williams@example.com,20/09/1993,-11.082033,-105.779543
C199,Cynthia,Patterson,cynthia.patterson@example.com,16/02/1974,38.872544,16.428942
C110,Eric,Pierce,eric.pierce@example.com,01/03/1991,-68.121807,127.029333
C643,James,Rios,james.rios@example.com,03/12/2000,81.811635,18.710797
C899,Kayla,Garrett,kayla.garrett@example.com,12/11/2006,30.3423545,14.725832
C681,William,Owen,william.owen@example.com,09/08/2006,-27.0354015,-155.708658
C944,Cindy,Sanchez,cindy.sanchez@example.com,17/05/1960,-66.5040355,48.403649
C345,Mary,Alvarez,mary.alvarez@example.com,28/07/1955,-40.9521255,-101.210769
C992,Patrick,Johnson,patrick.johnson@example.com,13/05/1969,40.6105,160.205504
C413,Sabrina,Young,sabrina.young@example.com,24/04/1982,-4.281866,80.566368
C106,Summer,Douglas,summer.douglas@example.com,11/09/1979,82.3531,79.828887
C175,Alex,Myers,alex.myers@example.com,12/07/2005,-68.6989285,-24.916505
C704,Daniel,Thompson,daniel.thompson@example.com,01/05/1954,-52.7906325,5.482156
C772,Stacey,Meza,stacey.meza@example.com,21/07/1998,-46.5508655,-56.763105
C322,Heather,Gonzalez,heather.gonzalez@example.com,08/05/2005,-72.1631575,41.791423
C210,Nicholas,Jackson,nicholas.jackson@example.com,14/05/1981,-61.3310345,-145.015514
C744,Candace,Todd,candace.todd@example.com,26/11/1979,-72.723202,-39.659365
C499,Kathy,Lindsey,kathy.lindsey@example.com,18/01/1969,-4.38144,27.45139
C536,Cheryl,Rocha,cheryl.rocha@example.com,13/05/1995,86.4342365,-175.788284
C403,Max,Wade,max.wade@example.com,20/08/2004,-43.2541985,167.444592
C877,Jill,Collins,jill.collins@example.com,28/08/1978,-72.8172375,158.30477
C207,Diane,Rios,diane.rios@example.com,28/12/1960,67.556631,-26.271574
C607,Joshua,Burns,joshua.burns@example.com,09/05/1995,74.998468,87.730444
C819,Joshua,Hill,joshua.hill@example.com,03/01/1990,-63.5286845,87.863763
C816,Duane,Jones,duane.jones@example.com,26/08/2005,-48.149122,83.769575
C921,Theresa,Cruz,theresa.cruz@example.com,10/12/1961,49.563466,-162.417446
C368,Wendy,Lynch,wendy.lynch@example.com,10/12/1973,78.252675,159.578482
C314,Shawn,Fisher,shawn.fisher@example.com,30/01/1972,83.903004,68.318295
C313,Steven,Scott,steven.scott@example.com,27/06/1971,-74.449722,132.87835
C710,Brent,Ball,brent.ball@example.com,21/07/1946,69.3064875,151.331203
C515,Sara,Martin,sara.martin@example.com,29/10/1975,53.449085,124.959821
C134,Scott,Short,scott.short@example.com,31/08/1987,-43.1617335,-125.114406
C408,Emily,Ellison,emily.ellison@example.com,20/04/1993,83.495733,43.212897
C496,Lisa,Valencia,lisa.valencia@example.com,08/05/1965,-39.037548,-178.992353
C377,Michael,Myers,michael.myers@example.com,12/03/1980,25.120419,-63.927171
C482,Melissa,Hernandez,melissa.hernandez@example.com,26/01/1982,-17.1389255,124.120497
C353,Kathryn,Smith,kathryn.smith@example.com,22/03/1970,44.5568885,-178.218274
C922,Gregory,Miller,gregory.miller@example.com,10/02/1987,-20.508681,-51.935532
C498,Deborah,Mercer,deborah.mercer@example.com,27/08/1949,33.7128895,-144.038037
C140,Carlos,Gray,carlos.gray@example.com,16/06/1960,46.1252745,-63.647289
C854,Donna,Stout,donna.stout@example.com,19/01/1971,30.391115,-99.690414
C967,Tammy,Bowers,tammy.bowers@example.com,20/11/1966,21.8559275,-158.688247
C649,Roger,Medina,roger.medina@example.com,07/12/1989,87.062088,176.747
C664,Olivia,Case,olivia.case@example.com,29/07/1953,-25.470837,-128.308819
C164,Michelle,Ellison,michelle.ellison@example.com,28/03/1989,9.1505215,38.162525
C702,Michelle,Perry,michelle.perry@example.com,11/04/1965,-24.8844795,-177.102958
C556,Marvin,Cruz,marvin.cruz@example.com,30/06/1956,77.84858,-38.494594
C242,Beverly,Ferguson,beverly.ferguson@example.com,09/06/1987,23.781242,154.666348
C407,Daisy,Smith,daisy.smith@example.com,22/01/1957,-55.872843,-119.095956
C966,Renee,Reyes,renee.reyes@example.com,27/02/1992,-52.008063,71.079574
C383,Holly,Marquez,holly.marquez@example.com,08/04/1958,-67.5906265,-85.307257
C970,Jennifer,King,jennifer.king@example.com,04/07/1986,5.831798,-142.683286
C517,Zachary,Hodges,zachary.hodges@example.com,21/06/1966,34.4348345,49.421383
C896,Jonathan,Rollins,jonathan.rollins@example.com,02/02/2005,17.18102,86.303986
C608,Ruben,Moyer,ruben.moyer@example.com,08/08/1954,61.6482055,151.233541
C646,David,Clarke,david.clarke@example.com,13/04/2006,-7.5422475,-88.403341
C685,Jeffrey,Goodwin,jeffrey.goodwin@example.com,30/10/1996,57.026236,58.60145
C763,Natalie,Stewart,natalie.stewart@example.com,02/08/1955,-45.0571955,-78.524778
C931,Dwayne,Cross,dwayne.cross@example.com,27/04/1990,32.366828,-165.89458
C449,Crystal,Wells,crystal.wells@example.com,19/04/1967,13.069054,6.646243
C941,Tracey,Baker,tracey.baker@example.com,29/07/1978,-31.6484625,-84.808395
C150,Mario,Lee,mario.lee@example.com,28/04/1966,-30.6503825,26.197178
C589,Cassie,Owens,cassie.owens@example.com,04/04/1950,25.415714,-103.079824
C508,Jason,Cole,jason.cole@example.com,22/07/1988,-40.9913025,85.83792
C359,Jesus,Vazquez,jesus.vazquez@example.com,08/10/1952,-62.0480615,-123.650454
C769,Lauren,Johnson,lauren.johnson@example.com,13/09/1947,56.132205,-122.969182
C800,Denise,Floyd,denise.floyd@example.com,11/12/1992,-64.960162,-59.774546
C982,Brooke,Wilson,brooke.wilson@example.com,04/09/1994,-43.4393925,168.082964
C534,Courtney,Hampton,courtney.hampton@example.com,06/09/1952,34.68067,13.756928
C466,Terrence,Harris,terrence.harris@example.com,15/11/1967,47.818508,-78.360689
C444,Robert,Hester,robert.hester@example.com,15/10/2000,5.643951,-22.906795
C655,Adam,Reed,adam.reed@example.com,06/02/1990,35.5993715,65.286133
C578,Joshua,Fisher,joshua.fisher@example.com,25/01/1964,-7.6653865,52.01461
C778,Benjamin,Dunn,benjamin.dunn@example.com,21/05/1972,-44.402855,77.608811
C602,Melanie,Green,melanie.green@example.com,28/05/1999,-38.0649,-149.767542
C205,Michael,Ortiz,michael.ortiz@example.com,22/09/1962,-54.0474465,-166.758092
C300,Amanda,Alvarado,amanda.alvarado@example.com,17/12/1983,-69.338755,-72.197195
C732,James,Powell,james.powell@example.com,07/03/1996,-6.533821,139.733447
C919,Louis,Hodges,louis.hodges@example.com,26/03/1990,16.1707635,27.942831
C562,Monica,Perry,monica.perry@example.com,15/11/1951,69.1055625,-54.365402
C277,James,Goodwin,james.goodwin@example.com,16/07/1954,75.749429,98.271276
C818,Sophia,Lee,sophia.lee@example.com,19/12/1945,81.4903645,-2.378506
C605,Bailey,Johnson,bailey.johnson@example.com,02/03/1981,75.4237515,156.174611
C695,Rebecca,Gomez,rebecca.gomez@example.com,01/11/1972,-9.9603645,66.889697
C127,Jacob,Morales,jacob.morales@example.com,22/01/1995,-31.7678355,43.916286
C179,Madeline,Hernandez,madeline.hernandez@example.com,22/04/1990,-86.9163285,0.641682
C289,Brandon,Martinez,brandon.martinez@example.com,22/07/1994,25.720431,-39.557294
C583,William,Hurst,william.hurst@example.com,14/09/1992,-50.4876315,-176.697793
C384,Jessica,Sanchez,jessica.sanchez@example.com,04/03/1985,31.3505965,-99.132982
C265,Brenda,Gordon,brenda.gordon@example.com,31/05/1949,-77.43558,45.350389
C690,Christina,Hawkins,christina.hawkins@example.com,31/10/1985,42.6263155,-118.605176
C379,Marie,Rollins,marie.rollins@example.com,22/04/1988,23.3513485,9.57904
C241,Travis,Garrison,travis.garrison@example.com,09/04/1947,-42.5852505,-137.487382
C564,Leslie,Smith,leslie.smith@example.com,31/10/1984,-74.0805555,-102.97235
C446,David,Young,david.young@example.com,18/04/1973,76.8575415,58.351233
C266,Austin,Weaver,austin.weaver@example.com,28/08/2001,3.837682,65.415204
C629,Daniel,Lucas,daniel.lucas@example.com,13/06/2000,-59.53165,146.446093
